Product,Selling Price,Current stock,SKU,Image _url
003 Ink Black (Original-Black),৳ 0.00,-1.00 Pieces,7017,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890141/003_Ink_Black_Original-Black_g3tpgf.jpg
003 Ink Cyan (Original-Cyan),৳ 0.00,0.00 Pieces,7018,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890141/003_Ink_Cyan_Original-Cyan_yelbjo.jpg
003 Ink Magenta (Original-Magenta),৳ 0.00,0.00 Pieces,7019,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890141/003_Ink_Magenta_Original-Magenta_rux1a0.jpg
003 Ink Set (Copy-Set),৳ 400.00,-1.00 Pieces,7020,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890141/003_Ink_Set_Copy-Set_bk2o3j.jpg
003 Ink Set (Original-Set),"৳ 2,000.00",-1.00 Pieces,7021,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890141/003_Ink_Set_Original-Set_dkq56v.jpg
003 Ink Set (Original-Set) Packet (Imported),"৳ 2,500.00",0.00 Pieces,7022,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890602/003_Ink_Set_Original-Set_Packet_Imported_mwbmth.jpg
003 Ink Yellow (Original-Yellow),৳ 0.00,0.00 Pieces,7023,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890645/003_Ink_Yellow_Original-Yellow_cqskkn.jpg
10 PIN ADF Flat Flex flexible Cable for HP M426 / M427 / M274 / M277 / M377 / M477 (C5F98-60110),৳ 350.00,10.00 Pieces,7024,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890708/10_PIN_ADF_Flat_Flex_flexible_Cable_quctzf.jpg
10 Pin FFC Cable,৳ 10.00,99.00 Pieces,7025,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890752/10_Pin_FFC_Cable_sxplzr.jpg
11A EURO Compatible Toner Cartridge,"৳ 2,000.00",0.00 Pieces,7026,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890811/11A_EURO_Compatible_Toner_Cartridge_kf2efe.jpg
11A GLAXXY Compatible Toner Cartridge,"৳ 1,400.00",0.00 Pieces,7027,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890876/11A_GLAXXY_Compatible_Toner_Cartridge_mqec1u.jpg
12 Pin Control Panel Cable for Epson L4150 / 4160 / 2140 (12 Pin -610MM),৳ 450.00,25.00 Pieces,7028,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761890937/12_Pin_Control_Panel_Cable_dr5rbz.jpg
12 Pin FFC Cable / Control Panel Display Cable for EPSON L-3150,৳ 500.00,22.00 Pieces,7029,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891002/12_Pin_FFC_Cable_qukuti.jpg
1250VA/720W Line Interactive UPS,"৳ 7,000.00",0.00 Pieces,7030,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891070/1250VA_Line_Interactive_UPS_olzc1f.jpg
12A Asta Compatible Toner Cartridge,৳ 800.00,0.00 Pieces,7031,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891108/12A_Asta_Compatible_Toner_Cartridge_jzfkii.jpg
12A BEST CHALLENGER Compatible Toner Cartridge,৳ 500.00,0.00 Pieces,7032,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891150/12A_BEST_CHALLENGER_Compatible_Toner_Cartridge_v2htke.jpg
12A GLAXXY Compatible Toner Cartridge,৳ 800.00,0.00 Pieces,7033,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891218/12A_GLAXXY_Compatible_Toner_Cartridge_xwjalr.jpg
13 Pin Control Panel Cable for Epson L5190 / L5290 (519013),৳ 450.00,20.00 Pieces,7034,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891322/14_PIN_ADF_Flat_Flex_flexible_Cable_for_HP_M426_l3rl0n.jpg
14 PIN ADF Flat Flex flexible Cable for HP M426 / M427 / M274 / M277 / M377 / M477 (C5F98-60109),৳ 500.00,58.00 Pieces,7035,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891784/14_PIN_ADF_Flat_Flex_flexible_Cable_for_HP_yhhwvj.jpg
2 Name visiting Card,৳ 1.20,"1,000.00 Pieces",7036,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891835/2_Name_visiting_Card_b3bnch.jpg
2 Pin Inkjet Power Cord (35490),৳ 100.00,-1.00 Pieces,7037,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891871/2_Pin_Inkjet_Power_Cord_35490_ehzomw.jpg
2 pin to 3 pin Converter Socket,৳ 20.00,12.00 Pieces,7038,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761891916/2_pin_to_3_pin_Converter_Socket_ny2s2y.jpg
2.5 inch Transparent USB 3.0 Hard Drive Enclosure,৳ 500.00,5.00 Pieces,7039,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761892599/2.5_inch_Transparent_USB_3.0_Hard_Drive_Enclosure_xqz9yh.jpg
24 I Full HD IPS Monitor,"৳ 16,700.00",0.00 Pieces,7040,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761892657/24_I_Full_HD_IPS_Monitor_l3uulu.jpg
24 Port Network  Switch,"৳ 12,500.00",0.00 Pieces,7041,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761892691/download_yvlmaq.jpg
24v 3a 3pin power adapter AC/DC power adapter 24v (ADS-72FSG-24),"৳ 1,800.00",5.00 Pieces,13736,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761892762/download_1_inggho.jpg
24v 3a 3pin power adapter AC/DC power adapter 24v 2.5a 24v 3a  for Label Printer 3 hole power adapter,"৳ 1,200.00",10.00 Pieces,6980,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761892798/download_2_fugxni.jpg
24V AC Adapter for HP Scan jet G4010 / G4050 / 2500 F1 Scanner Power Supply Battery Charger (KS-2430),"৳ 1,700.00",0.00 Pieces,7043,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761892843/download_3_semcas.jpg
24V AC Adapter for HP Scan jet G4010 / G4050 / 2500F1 Scanner Power Supply Battery Charger (0957-2292),"৳ 2,500.00",7.00 Pieces,7042,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761892879/download_4_f4z0li.jpg
